controller,scenario_name,ablation_name,approval_rate_mean,approval_rate_ci_lower,approval_rate_ci_upper,default_rate_mean,default_rate_ci_lower,default_rate_ci_upper,expected_profit_mean,expected_profit_ci_lower,expected_profit_ci_upper,npv_mean,npv_ci_lower,npv_ci_upper,cumulative_reward_mean,cumulative_reward_ci_lower,cumulative_reward_ci_upper,capital_usage_mean_mean,capital_usage_mean_ci_lower,capital_usage_mean_ci_upper,reward_volatility_mean,reward_volatility_ci_lower,reward_volatility_ci_upper,stability_index_mean,stability_index_ci_lower,stability_index_ci_upper,threshold_volatility_mean,threshold_volatility_ci_lower,threshold_volatility_ci_upper
ppo__no_delayed_reward,noise,no_delayed_reward,0.5693063960153878,0.5648353011717153,0.5740772325356194,0.053411499608131956,0.05113071530457612,0.05640775455586688,373357.2201415776,359457.8990786461,385792.12040674343,366223.2959474537,352598.85508135724,378450.76802779525,612694.2896432369,585998.3624137276,636518.5396042095,0.5225336294061003,0.5069520329855663,0.5368100963520801,29571.011838937342,26825.698929712147,31730.423753146897,3.467395096499111e-05,3.211491128309877e-05,3.8156342092349645e-05,0.0,0.0,0.0
ppo__no_delayed_reward,split_policy_dynamics,no_delayed_reward,0.5883308341029111,0.5848244164467322,0.5922110655373988,0.06001849250444779,0.057926592350089734,0.06253968806607717,397505.250893542,386278.8646848658,408711.6257969329,389831.5410771672,378780.7051243933,400953.2720684676,643965.0362241444,633187.5927699257,654170.8237545126,0.5708769554584899,0.5661329069783935,0.5756962224310804,29444.53382667879,27778.36699037129,31007.00437416876,3.428865351868312e-05,3.259128203757484e-05,3.6140691849415996e-05,0.0,0.0,0.0
ppo__no_risk_aware_shaping,adverse_stress,no_risk_aware_shaping,0.5630066066880489,0.5585794335544777,0.5671147612367567,0.07257483221228342,0.07097852921958321,0.07418546250318249,327950.9789510393,314861.1267105214,340653.7263070553,321261.60458946956,308496.0553804487,333742.8718443784,399984.57590850187,384196.09173229913,415398.13835021877,0.5941523380120057,0.5845852875088866,0.6034939514008636,23848.778189200806,22048.233099822206,25228.107240313842,4.266894123684271e-05,4.009633239147811e-05,4.647144789782802e-05,0.0,0.0,0.0
ppo__no_risk_aware_shaping,base_market,no_risk_aware_shaping,0.5891994079504991,0.5869067592436239,0.5914277416914054,0.05585025591167172,0.0539535643343965,0.057543842449450495,400810.7529275873,392152.13417231763,409281.2173394886,393205.92842217913,384616.71571446495,401538.9120204567,490111.6492525914,479192.86021331674,500645.4008770719,0.5543030527871703,0.5475912759898667,0.5591437382845883,34446.72794266552,32511.82806256872,36034.84130877908,2.9317541923219204e-05,2.7976635400098938e-05,3.108530871079059e-05,0.0,0.0,0.0
ppo__no_risk_aware_shaping,class_imbalance_shift,no_risk_aware_shaping,0.5576180377088531,0.5519802331709354,0.5632264247119455,0.06247731931672234,0.060536678453200134,0.06490405210005082,365297.8925804782,351714.3597542435,377617.82603624073,358125.1473920327,344717.76928442926,370226.7230181644,447576.21727692784,430898.5204301032,463000.976589877,0.5197737885977539,0.5118774824106986,0.5266524303587652,30160.580230365664,28344.614936492442,32147.071918809073,3.356789972413995e-05,3.155268456453751e-05,3.5617037522330615e-05,0.0,0.0,0.0
ppo__no_risk_aware_shaping,drift,no_risk_aware_shaping,0.5642726184088912,0.5593432662434296,0.5690663474689104,0.06540426135789575,0.06324964872999685,0.06741526950125216,354233.9219803912,346305.48913048994,363438.5322007491,347256.89412635745,339412.61450710107,356302.20080477797,433134.84051368944,423488.72462203196,444469.07629455964,0.5557798879373109,0.547482918520271,0.5630163280591045,29386.9981252796,27676.16784220271,30707.16626519899,3.430740874449366e-05,3.261689712527634e-05,3.6612928853428974e-05,0.0,0.0,0.0
ppo__no_risk_aware_shaping,noise,no_risk_aware_shaping,0.5693063960153878,0.5648353011717153,0.5740772325356194,0.053411499608131956,0.05113071530457612,0.05640775455586688,373357.2201415776,359457.8990786461,385792.12040674343,366223.2959474537,352598.85508135724,378450.76802779525,457185.1596868851,439855.87737842824,472586.9028949757,0.5225336294061003,0.5069520329855663,0.5368100963520801,31550.249096920514,29097.1116563126,33493.026125223165,3.234459888409792e-05,3.032235022891861e-05,3.4935995898376356e-05,0.0,0.0,0.0
ppo__no_risk_aware_shaping,split_policy_dynamics,no_risk_aware_shaping,0.5883308341029111,0.5848244164467322,0.5922110655373988,0.06001849250444779,0.057926592350089734,0.06253968806607717,397505.250893542,386278.8646848658,408711.6257969329,389831.5410771672,378780.7051243933,400953.2720684676,485951.29490277363,471780.65574237803,500084.76535807544,0.5708769554584899,0.5661329069783935,0.5756962224310804,32493.307726825544,31205.93864601237,33833.59130987512,3.0983096145787795e-05,2.9713034157957023e-05,3.224402175587631e-05,0.0,0.0,0.0
ppo__no_robustness_logic,adverse_stress,no_robustness_logic,0.5630066066880489,0.5585794335544777,0.5671147612367567,0.07257483221228342,0.07097852921958321,0.07418546250318249,327950.9789510393,314861.1267105214,340653.7263070553,321261.60458946956,308496.0553804487,333742.8718443784,399918.8087014526,384130.4713857721,415332.37395287,0.5941523380120057,0.5845852875088866,0.6034939514008636,23848.58027765495,22048.0320916517,25227.91550377276,4.26693156502653e-05,4.009665277399107e-05,4.647190621873243e-05,0.0,0.0,0.0
ppo__no_robustness_logic,base_market,no_robustness_logic,0.5891994079504991,0.5869067592436239,0.5914277416914054,0.05585025591167172,0.0539535643343965,0.057543842449450495,400810.7529275873,392152.13417231763,409281.2173394886,393205.92842217913,384616.71571446495,401538.9120204567,490060.5278371089,479141.8024610005,500594.3977466211,0.5543030527871703,0.5475912759898667,0.5591437382845883,34446.720196352144,32511.821008329513,36034.83683726869,2.9317549215470378e-05,2.7976639322876287e-05,3.1085316287485384e-05,0.0,0.0,0.0
