controller,scenario_name,interactive_week,cumulative_reward_mean,cumulative_reward_ci_lower,cumulative_reward_ci_upper
constraint_aware_weekly,adverse_stress,0,-145.42840458750183,-227.5098809112584,-75.4191782879386
constraint_aware_weekly,adverse_stress,1,-266.5540833727772,-346.5371049875994,-206.4179120848343
constraint_aware_weekly,adverse_stress,2,-393.72458147427636,-486.46612663140064,-307.9657813386583
constraint_aware_weekly,adverse_stress,3,-541.9690641277065,-653.9741099184183,-450.6923674547661
constraint_aware_weekly,adverse_stress,4,-694.005620849215,-2069.607804257682,325.04928446397724
constraint_aware_weekly,adverse_stress,5,-1309.7313453199197,-2911.3360874323757,428.3686401426294
constraint_aware_weekly,adverse_stress,6,-2755.123833223862,-5807.071947116478,581.0661544036882
constraint_aware_weekly,adverse_stress,7,-5985.144067816145,-9421.380522101637,-1862.934440915347
constraint_aware_weekly,adverse_stress,8,-5845.393888210708,-9819.874961206931,-2523.5374068927654
constraint_aware_weekly,adverse_stress,9,-4302.213098027362,-10662.2874509181,33.986788601036736
constraint_aware_weekly,adverse_stress,10,-9223.67484480452,-16340.67341434745,-4020.214049799325
constraint_aware_weekly,adverse_stress,11,-6933.236422444602,-16125.01982902182,818.0817140575814
constraint_aware_weekly,adverse_stress,12,-4687.296924690815,-15388.806258493585,3084.0328927659125
constraint_aware_weekly,adverse_stress,13,-1059.0799902245715,-10926.328015316096,7476.877010287184
constraint_aware_weekly,adverse_stress,14,-3017.9193529824565,-12323.173238094883,4461.372854096406
constraint_aware_weekly,adverse_stress,15,3798.2880662387474,-5891.329686297115,11933.968186043467
constraint_aware_weekly,adverse_stress,16,6868.9459174734075,-3950.786741257999,16467.23409285647
constraint_aware_weekly,adverse_stress,17,12072.451444384127,1028.7623735011045,22589.99042097231
constraint_aware_weekly,adverse_stress,18,12912.529953305595,488.56753171343314,24160.56222422605
constraint_aware_weekly,adverse_stress,19,16634.162845354665,3697.2286122084747,29578.776364525173
constraint_aware_weekly,adverse_stress,20,15666.202243536683,3993.6232424860395,26711.287268465898
constraint_aware_weekly,adverse_stress,21,14776.320091422493,4320.538094908569,24876.049011820964
constraint_aware_weekly,adverse_stress,22,14715.169461598378,5183.142825482851,24236.883832963744
constraint_aware_weekly,adverse_stress,23,16561.374402878366,7771.295350220156,25665.66409099281
constraint_aware_weekly,adverse_stress,24,14874.887488971683,5335.731034053255,24214.461754103362
constraint_aware_weekly,adverse_stress,25,23051.34689014615,12765.364946245289,32470.782791083908
constraint_aware_weekly,base_market,0,-101.34621092029623,-127.5731382427439,-71.31890471290994
constraint_aware_weekly,base_market,1,-216.08313408167632,-266.11033509879326,-171.45865044393034
constraint_aware_weekly,base_market,2,-325.2854724806352,-406.53262618531187,-270.78886612350897
constraint_aware_weekly,base_market,3,-437.4661152730163,-524.6989563134482,-347.9254058457654
constraint_aware_weekly,base_market,4,-458.3180399164473,-1580.5777444096127,457.9819654860378
constraint_aware_weekly,base_market,5,-1573.5688008041286,-3123.0553899352003,311.62560984317565
constraint_aware_weekly,base_market,6,-3094.3889555260484,-6503.4661651785655,607.5192874267724
constraint_aware_weekly,base_market,7,-4579.717155033534,-10932.770517519777,1159.1765281589203
constraint_aware_weekly,base_market,8,-8154.424754219649,-15310.071550130222,-1465.1023612778997
constraint_aware_weekly,base_market,9,-8875.391018070628,-16938.422342067264,-368.523768321679
constraint_aware_weekly,base_market,10,-5219.61925024226,-13607.005727938738,4367.139683573735
constraint_aware_weekly,base_market,11,-751.3970294195384,-9183.132933793524,10294.688472994912
constraint_aware_weekly,base_market,12,2341.195434721883,-4101.94311628596,10737.02874557939
constraint_aware_weekly,base_market,13,2672.945830855236,-7952.857300924371,13537.936977541161
constraint_aware_weekly,base_market,14,9462.394944170397,1324.6098023362883,19312.258117895428
constraint_aware_weekly,base_market,15,17244.91511817178,8941.426935519556,27374.330820939278
constraint_aware_weekly,base_market,16,28365.644872623438,20260.550342971266,38351.4513530555
constraint_aware_weekly,base_market,17,31481.58161531841,20745.398197660776,41356.06248766384
constraint_aware_weekly,base_market,18,36976.12524630272,25929.991924154358,46840.82498245709
constraint_aware_weekly,base_market,19,45995.99748818318,33792.88645862603,58810.52541133125
constraint_aware_weekly,base_market,20,43189.098201253735,32656.566605764416,56494.07149214392
constraint_aware_weekly,base_market,21,49540.70907030048,36073.341259329536,65474.55200395037
constraint_aware_weekly,base_market,22,49992.23560590267,32865.23158025443,65095.03406640824
constraint_aware_weekly,base_market,23,55588.4951984206,39830.597404729895,70070.85466753576
constraint_aware_weekly,base_market,24,61263.18109126855,45592.69743529634,76169.07005438054
constraint_aware_weekly,base_market,25,101835.6807330338,87179.95361278827,117399.97880536436
constraint_aware_weekly,class_imbalance_shift,0,-156.0537651340725,-221.99078625501122,-100.54554344974332
constraint_aware_weekly,class_imbalance_shift,1,-282.43420815534324,-379.2828998973032,-199.45050399098727
constraint_aware_weekly,class_imbalance_shift,2,-430.74012081105496,-510.8676804766827,-374.3526177217751
constraint_aware_weekly,class_imbalance_shift,3,-516.8530581181564,-606.015931125675,-440.35205445174995
constraint_aware_weekly,class_imbalance_shift,4,-1064.8030159808889,-2105.036069383018,77.46036633643293
constraint_aware_weekly,class_imbalance_shift,5,-2042.4606324749884,-4057.0350376422853,-255.0690241444981
constraint_aware_weekly,class_imbalance_shift,6,-4378.411787072575,-7845.032940956486,-327.8110312135289
constraint_aware_weekly,class_imbalance_shift,7,-6642.179743270101,-12522.059028154856,-1181.1140555854845
constraint_aware_weekly,class_imbalance_shift,8,-9426.609422373656,-15598.347697774992,-2446.838374395029
constraint_aware_weekly,class_imbalance_shift,9,-7852.317836735722,-14183.343467632934,-1575.8975236275087
constraint_aware_weekly,class_imbalance_shift,10,-3710.6246762827996,-10264.854573498307,3793.053073397282
constraint_aware_weekly,class_imbalance_shift,11,-1694.949111657612,-8292.810811043413,6753.137126766873
constraint_aware_weekly,class_imbalance_shift,12,-2851.27829044359,-10376.70183418041,7156.456050058559
constraint_aware_weekly,class_imbalance_shift,13,-1445.9201348955974,-9908.449845160862,8416.321129126403
constraint_aware_weekly,class_imbalance_shift,14,5154.081429420767,-3365.036590014531,13650.87370489275
constraint_aware_weekly,class_imbalance_shift,15,8860.762584632264,-1480.3852730309814,20915.176654547042
constraint_aware_weekly,class_imbalance_shift,16,14944.690200153971,4459.568045572828,27527.907756656037
constraint_aware_weekly,class_imbalance_shift,17,19790.777453364437,7729.314929632737,32185.6017456117
constraint_aware_weekly,class_imbalance_shift,18,24084.15524646961,11731.301110988847,39966.66956546417
constraint_aware_weekly,class_imbalance_shift,19,25865.591302256817,12431.728839351144,41851.14685213496
constraint_aware_weekly,class_imbalance_shift,20,33264.171243799516,20631.7858396456,49283.057150087756
constraint_aware_weekly,class_imbalance_shift,21,39799.272834152514,25769.890416442053,55634.74692749723
constraint_aware_weekly,class_imbalance_shift,22,42191.28200248154,29518.1433626841,56394.6530091501
constraint_aware_weekly,class_imbalance_shift,23,46170.83392581378,32486.450148754648,62064.093483518
constraint_aware_weekly,class_imbalance_shift,24,48491.38039855802,33264.743308325254,64465.925634070074
constraint_aware_weekly,class_imbalance_shift,25,81420.57931726747,64236.58619000003,100333.83611219158
constraint_aware_weekly,drift,0,-111.34836305516473,-153.82826671658952,-73.83240962884706
constraint_aware_weekly,drift,1,-233.4231307415522,-303.80461639636883,-175.06530499319265
constraint_aware_weekly,drift,2,-316.0253633044419,-392.762253622454,-246.24867258782197
constraint_aware_weekly,drift,3,-402.47736399455084,-469.6567226042316,-345.30666619812826
constraint_aware_weekly,drift,4,-2504.085907138741,-4963.971140375051,-350.5408287974562
constraint_aware_weekly,drift,5,-4847.1844204883355,-7021.29666088944,-2053.307200616728
constraint_aware_weekly,drift,6,-5751.859229089394,-8792.617494649225,-2843.699685711131
constraint_aware_weekly,drift,7,-6790.14318789179,-10840.406395903523,-2997.414482490012
constraint_aware_weekly,drift,8,-12359.003498135704,-16974.870654254006,-7420.7354003087885
constraint_aware_weekly,drift,9,-8996.277234451984,-13086.752741743632,-4991.719836676544
constraint_aware_weekly,drift,10,-6159.954700393778,-8609.647463809879,-2385.6426508489094
constraint_aware_weekly,drift,11,-2893.6191768456915,-5981.4533033198595,1675.124409496191
constraint_aware_weekly,drift,12,3781.526223023729,-1898.6254267552606,9455.065699995614
constraint_aware_weekly,drift,13,8222.545648640336,3355.376944384281,14115.336254535103
constraint_aware_weekly,drift,14,3308.270425670287,-4080.370815704631,11434.545766765446
constraint_aware_weekly,drift,15,8722.793597401904,1756.185993082465,18112.09532945094
constraint_aware_weekly,drift,16,11079.674779302166,1648.6871690105593,23043.73238225005
constraint_aware_weekly,drift,17,14014.134424768046,1180.2408761118695,26794.33571204614
constraint_aware_weekly,drift,18,16625.224623932805,9017.929411152127,28563.18462052554
constraint_aware_weekly,drift,19,21634.247350333128,12968.354179009963,32038.035788644836
constraint_aware_weekly,drift,20,26117.511227962143,17085.202347432063,37059.72072849168
constraint_aware_weekly,drift,21,28215.87219483509,19712.320658659708,39815.792369351606
constraint_aware_weekly,drift,22,31166.534752361473,19783.914327267506,43680.66943108027
constraint_aware_weekly,drift,23,30700.653037677115,18286.767968847304,44439.007657776885
constraint_aware_weekly,drift,24,34141.46595834058,22053.352086999745,45685.35549823482
constraint_aware_weekly,drift,25,64786.08385772225,50579.140251977195,77654.16161024859
constraint_aware_weekly,noise,0,-159.49700796213165,-226.3836128164503,-91.53479008951062
constraint_aware_weekly,noise,1,-294.6666356883099,-369.1979262387202,-234.25550214446253
constraint_aware_weekly,noise,2,-401.43244260213714,-488.7626876053846,-318.95072269307315
constraint_aware_weekly,noise,3,-603.2048819541543,-690.760545974453,-498.1443716546146
constraint_aware_weekly,noise,4,-2460.869774058691,-3868.5602321276697,-934.2089478193707
constraint_aware_weekly,noise,5,-3713.2950804264196,-7219.739403920906,207.73307148264433
constraint_aware_weekly,noise,6,-5026.676376813603,-8270.135437329434,-1623.2069077702777
constraint_aware_weekly,noise,7,-7161.8530350628835,-12984.963308484434,-1434.85148847522
constraint_aware_weekly,noise,8,-2872.592028178086,-8129.431734098756,2615.951217448857
constraint_aware_weekly,noise,9,-5610.368259211714,-14368.00771550772,1259.9625093111977
constraint_aware_weekly,noise,10,-4700.891301446963,-16917.73862987356,6237.807220051665
constraint_aware_weekly,noise,11,-4121.613650491866,-18977.90450501826,9827.141377275824
constraint_aware_weekly,noise,12,-3482.9000343468724,-18956.08758600352,12058.593969317137
constraint_aware_weekly,noise,13,2648.403066501624,-10534.517564395468,14365.02218204978
constraint_aware_weekly,noise,14,5542.149250888444,-8148.467872122167,18356.756911991008
constraint_aware_weekly,noise,15,12060.051956528776,-2500.4782067634465,25205.010512611985
constraint_aware_weekly,noise,16,20618.9838365701,4489.210126290529,33333.27088302126
constraint_aware_weekly,noise,17,17113.688991187722,4756.407306705758,29168.443715007514
constraint_aware_weekly,noise,18,22253.32257063242,7430.255386738877,36582.975047086446
constraint_aware_weekly,noise,19,24606.317209799152,9853.090777009578,38180.2097770445
constraint_aware_weekly,noise,20,32910.399526133144,17195.408930334517,46756.218207138016
constraint_aware_weekly,noise,21,41423.69241096586,24764.216395344476,55303.83288194866
